source_code,source_description,premise_category,broad_anchor_class
202,LIQUOR STORE,commercial,commercial
203,OTHER BUSINESS,commercial,commercial
204,MANUFACTURING COMPANY,built_other,built_other
205,GUN/SPORTING GOODS,built_other,built_other
206,TV/RADIO/APPLIANCE,built_other,built_other
207,BAR/COCKTAIL/NIGHTCLUB,commercial,commercial
208,AUTO SALES LOT,built_other,built_other
209,EQUIPMENT RENTAL,built_other,built_other
210,RESTAURANT/FAST FOOD,commercial,commercial
211,PAWN SHOP,commercial,commercial
212,TRANSPORTATION FACILITY (AIRPORT),transit,transit
213,WAREHOUSE,commercial,commercial
214,"BUS DEPOT/TERMINAL, OTHER THAN MTA",transit,transit
215,"TRAIN DEPOT/TERMINAL, OTHER THAN MTA",transit,transit
216,SWAP MEET,built_other,built_other
217,AUTO REPAIR SHOP,commercial,commercial
218,BEAUTY/BARBER SHOP,commercial,commercial
219,CLEANER/LAUNDROMAT,built_other,built_other
220,NAIL SALON,built_other,built_other
221,PUBLIC STORAGE,built_other,built_other
222,LAUNDROMAT,built_other,built_other
223,VIDEO RENTAL STORE,commercial,commercial
224,SURPLUS SURVIVAL STORE,commercial,commercial
225,RECORD-CD MUSIC/COMPUTER GAME STORE,commercial,commercial
227,ABORTION CLINIC/ABORTION FACILITY*,public_institutional,public_institutional
228,BOWLING ALLEY*,outdoor,outdoor
229,CHECK CASHING*,built_other,built_other
230,DAY CARE/ADULTS*,built_other,built_other
231,DAY CARE/CHILDREN*,built_other,built_other
232,"DELIVERY SERVICE (FED EX, UPS, COURIERS,COURIER SERVICE)*",built_other,built_other
233,TATTOO PARLOR*,built_other,built_other
234,OPTICAL OFFICE INSIDE STORE OR SUPERMARKET*,commercial,commercial
235,PHARMACY INSIDE STORE OR SUPERMARKET*,commercial,commercial
236,VISION CARE FACILITY*,built_other,built_other
237,HOSPICE,built_other,built_other
238,TELECOMMUNICATION FACILITY/LOCATION,built_other,built_other
239,MEDICAL MARIJUANA FACILITIES/BUSINESSES,built_other,built_other
240,DEPT OF DEFENSE FACILITY,built_other,built_other
241,ENERGY PLANT/FACILITY,built_other,built_other
242,"DISCOUNT STORE (99 CENT,DOLLAR,ETC.",commercial,commercial
243,"DIY CENTER (LOWE'S,HOME DEPOT,OSH,CONTRACTORS WAREHOUSE)",commercial,commercial
244,TOBACCO SHOP,commercial,commercial
245,CATERING/ICE CREAM TRUCK,vehicle,outdoor
246,METHADONE CLINIC,public_institutional,public_institutional
247,CAR WASH,built_other,built_other
248,CELL PHONE STORE,commercial,commercial
249,NURSERY/FLOWER SHOP,commercial,commercial
250,COMPUTER SERVICES/REPAIRS/SALES,built_other,built_other
251,RECYCLING CENTER,built_other,built_other
252,"COFFEE SHOP (STARBUCKS, COFFEE BEAN, PEET'S, ETC.)",commercial,commercial
253,MORTUARY,built_other,built_other
254,STUDIO (FILM/PHOTOGRAPHIC/MUSIC),built_other,built_other
255,"AUTO DEALERSHIP (CHEVY, FORD, BMW, MERCEDES, ETC.)",built_other,built_other
256,,unknown,built_other
301,GAS STATION,transit,transit
302,FACTORY,commercial,commercial
303,OIL REFINERY,built_other,built_other
304,GARMENT MANUFACTURER,built_other,built_other
305,CHEMICAL STORAGE/MANUFACTURING PLANT,built_other,built_other
401,MINI-MART,built_other,built_other
402,MARKET,commercial,commercial
403,DRUG STORE,commercial,commercial
404,DEPARTMENT STORE,commercial,commercial
